Overlap,Score,
-100,0,
102.98,100,
-0.165,0,
-100,0,
-100,0,
28.741,19.399612307113703,
36.399,27.29167796604019,
-100,0,
5.845,1.8430203321551917,
-100,0,
-100,0,
49.823,42.64381224847257,
29.149,19.801041809611377,
-72.941,0,
125,100,
-100,0,
-100,0,
125,100,
-100,0,
46.162,38.29251078534172,
-3.649,0,
-100,0,
82.426,83.39236289958336,
-75.513,0,
-100,0,
-3.244,0,
125,100,
12.751,5.883340108276744,
-1.003,0,
80.002,80.46915237631299,
51.693,44.92145997710616,
1.249,0.1832992812555007,
-100,0,
-26.675,0,
-100,0,
-100,0,
-100,0,
125,100,
-100,0,
7.14,2.4843375966071712,
-100,0,
-100,0,
75.292,74.59807241355479,
24.973,15.830243784503336,
-90.742,0,
-64.817,0,
-0.165,0,
-100,0,
65.143,61.643562035357725,
-100,0,
63.552,59.62680560919842,
7.558,2.7038472810733296,
-100,0,
125,100,
-3.496,0,
95.921,97.7477339504071,
-100,0,
11.166,4.828436064840595,
43.48,35.152106260542716,
-16.222,0,
-100,0,
-100,0,
-100,0,
-100,0,
-100,0,
-100,0,
-90.192,0,
-96.372,0,
-34.043,0,
26.508,17.2368334759714,
-26.631,0,
-9.564,0,
-100,0,
-100,0,
-28.71,0,
-66.36,0,
38.651,29.745308158945576,
81.915,82.77220058270696,
-71.278,0,
-63.404,0,
-100,0,
-23.54,0,
-1.167,0,
-100,0,
-100,0,
-31.293,0,
-26.78,0,
-77.53,0,
-24.891,0,
23.435,14.419341460751872,
-5.958,0,
-1.003,0,
-100,0,
63.489,59.5661629714141,
-100,0,
-100,0,
25.281,16.094476075654722,
-100,0,
-78.519,0,
-81.777,0,
-0.017,0,
-100,0,
92.283,94.4686615951935,
-100,0,
-44.466,0,
-100,0,
-95.542,0,
-100,0,
-100,0,
-100,0,
-3.706,0,
21.976,13.113265619557712,
-100,0,
125,100,
-11.821,0,
-0.827,0,
-100,0,
-100,0,
8.541,3.2425190101305503,
-65.424,0,
-54.635,0,
-100,0,
-96.541,0,
-100,0,
25.253,16.07330937473786,
-10.779,0,
24.109,15.016671807258094,
-100,0,
-100,0,
-50.663,0,
-8.197,0,
-100,0,
-72.207,0,
-74.63,0,
20.132,11.541195296166652,
-50.491,0,
-100,0,
41.216,32.60469537282935,
-100,0,
-82.293,0,
30.863,21.518082923788395,
-100,0,
107.612,100,
101.597,100,
15.007,7.479451805534026,
-100,0,
-100,0,
-100,0,
-100,0,
-0.999,0,
-49.659,0,
-49.759,0,
-100,0,
4.387,1.200668816497878,
101.292,100,
-100,0,
-100,0,
-100,0,
9.582,3.8469217164132514,
-99.66,0,
-19.42,0,
-55.094,0,
-100,0,
-5.057,0,
-2.291,0,
-100,0,
-100,0,
12.574,5.757610024260768,
-90.143,0,
4.402,1.2071491615662848,
-100,0,
-100,0,
-67.573,0,
-100,0,
-100,0,
-17.226,0,
75.292,74.59807241355479,
-0.095,0,
-100,0,
33.556,24.276737812171458,
28.554,19.22466990131134,
-1.003,0,
0.053,0.0016070054577568464,
-19.821,0,
-100,0,
-100,0,
-100,0,
-100,0,
-100,0,
125,100,
-100,0,
-100,0,
99.94,99.99570220903986,
-100,0,
-100,0,
-54.94,0,
-3.892,0,
-7.239,0,
-5.916,0,
2.601,0.549484820838368,
-64.293,0,
-100,0,
-0.1,0,
-10.563,0,
49.019,41.64947551424476,
-100,0,
-75.362,0,
3.537,0.8702831318522274,
-100,0,
-100,0,
10.385,4.335673102281102,
21.938,13.079758020222673,
-100,0,
-100,0,
58.14,52.82053078406875,
-100,0,
-100,0,
-73.11,0,
10.286,4.274733283725635,
-100,0,
-100,0,
-67.705,0,
-21.834,0,
-100,0,
43.138,34.81713153194235,
-43.702,0,
-4.536,0,
-46.034,0,
46.527,38.75104954016901,
-100,0,
-18.578,0,
17.338,9.255695772418436,
-100,0,
-100,0,
-100,0,
-23.99,0,
-8.53,0,
-100,0,
4.029,1.0575834785806386,
-4.024,0,
-100,0,
-100,0,
-100,0,
4.309,1.1691076526675561,
-100,0,
13.985,6.734521173516404,
-100,0,
-100,0,
10.841,4.618191656289168,
