Overlap,Score,
-17.974,0,
-100,0,
27.665,18.34075922325446,
5.332,1.6066290146438182,
-100,0,
55.487,49.50399617744384,
0.004,0.00002745224868687024,
-28.495,0,
-100,0,
-100,0,
-75.813,0,
-70.408,0,
-35.702,0,
65.783,62.45701900922338,
6.736,2.2770663203180765,
-0.279,0,
1.249,0.1832992812555007,
31.477,22.133766863700306,
-6.795,0,
-0.364,0,
-100,0,
-49.15,0,
-58.193,0,
125,100,
-14.974,0,
24.973,15.830243784503336,
-12.722,0,
1.181,0.1682794243185894,
20.267,11.644429197508199,
-77.003,0,
-100,0,
-36.603,0,
-100,0,
65.692,62.340769178525015,
-24.437,0,
-0.553,0,
-100,0,
-100,0,
81.133,81.85314069180997,
0.426,0.036517325153373734,
-51.868,0,
-1.848,0,
-100,0,
125,100,
47.482,39.84528875071465,
13.946,6.71175550641774,
-69.557,0,
44.964,36.89486960320381,
12.968,6.026890280638456,
-53.79,0,
-75.859,0,
125,100,
51.284,44.392488090703175,
125,100,
0.106,0.004561484271647951,
123.569,100,
125,100,
-100,0,
-100,0,
16.572,8.65896975558025,
125,100,
125,100,
-100,0,
10.709,4.538278681036568,
125,100,
-4.912,0,
-69.056,0,
16.337,8.48103595272674,
-53.734,0,
45.865,37.944553772586836,
51.637,44.85289066522504,
-1.753,0,
0.348,0.02702843213367689,
-8.668,0,
-100,0,
-0.732,0,
31.803,22.46568747616478,
-1.003,0,
-18.069,0,
-100,0,
-0.087,0,
-12.25,0,
-100,0,
14.319,6.9789123666214845,
3.614,0.8991697266937586,
-100,0,
-100,0,
11.778,5.227132275290546,
11.166,4.828436064840595,
13.49,6.391166026034628,
-13.3,0,
47.216,39.53155443640121,
-64.856,0,
24.643,15.51859043548792,
-100,0,
-14.186,0,
-70.407,0,
-100,0,
-0.101,0,
8.534,3.2385450629517107,
-30.163,0,
-2.395,0,
-100,0,
-51.24,0,
61.859,57.455963552109814,
10.758,4.566277284721162,
-0.127,0,
85.068,86.54885189770228,
-70.147,0,
8.244,3.0740044572681815,
-100,0,
10.263,4.257615315220867,
125,100,
-18.578,0,
-19.177,0,
-2.805,0,
46.641,38.86961692897318,
-14.897,0,
62.539,58.34495986103242,
-8.889,0,
30.548,21.181836317561963,
37.75,28.757269046321543,
-100,0,
25.137,15.96130811858216,
11.251,4.882710853837197,
-1.422,0,
9.035,3.525527441046792,
2.601,0.549484820838368,
-0.165,0,
1.39,0.2150937306760166,
16.656,8.724126571121733,
37.855,28.872607309558205,
63.495,59.52738267282477,
-12.321,0,
4.909,1.4204343618133581,
-2.397,0,
53.882,47.59537751868404,
-21.296,0,
-100,0,
-53.283,0,
-100,0,
-2.805,0,
125,100,
67.952,65.1885886576688,
-100,0,
60.974,56.372484533120215,
-8.618,0,
0.42,0.03577504882960542,
-65.267,0,
-70.328,0,
38.2,29.250210860397996,
125,100,
39.245,30.427172251004965,
125,100,
-20.489,0,
-1.904,0,
-30.36,0,
125,100,
40.037,31.282493419801494,
56.984,51.3817749191795,
-11.821,0,
-100,0,
-100,0,
13.288,6.2540862110479285,
-100,0,
0.348,0.02702843213367689,
73.007,71.64581544521586,
-66.111,0,
-5.057,0,
-95.351,0,
38.2,29.250210860397996,
-2.354,0,
-6.491,0,
-74.287,0,
47.175,39.51435516835388,
50.122,43.041279201202656,
3.051,0.6978146595950119,
-32.999,0,
-100,0,
21.161,12.405869844289025,
-2.698,0,
108.476,100,
-100,0,
-22.639,0,
10.572,4.451774006639267,
9.37,3.726188556600776,
-100,0,
-100,0,
-100,0,
34.597,25.369585670448224,
-100,0,
-100,0,
22.04,13.169313516346378,
35.697,26.546993108247012,
-77.726,0,
-17.677,0,
-9.54,0,
-58.689,0,
2.724,0.5891891771591123,
-100,0,
-6.204,0,
-38.862,0,
80.451,80.98027004667145,
19.274,10.81638004047178,
125,100,
-1.904,0,
-4.966,0,
-1.003,0,
0.799,0.0937847503225028,
12.067,5.41716251821843,
17.142,9.1016879864607,
-19.42,0,
2.93,0.6560490318283871,
-100,0,
-0.557,0,
-9.118,0,
-44.352,0,
59.274,54.237444414246596,
33.642,24.376467568636542,
6.655,2.2365322041212212,
-0.165,0,
-100,0,
-64.545,0,
-100,0,
2.581,0.543321988654137,
-100,0,
52.624,46.01781494597465,
63.89,60.054673456347786,
-0.109,0,
-98.35,0,
-1.13,0,
-29.346,0,
-43.718,0,
-100,0,
-0.491,0,
39.101,30.24253117445057,
14.938,7.429118514738131,
-0.858,0,
-100,0,
-53.283,0,
-100,0,
93.183,95.34424066838764,
-100,0,
80.798,81.41797473926043,
39.643,30.843528087961765,
-26.359,0,
-100,0,
-0.8,0,
-30.517,0,
