Distance,Overlap
77.265,77.01998017
43.758,35.50068004
31.444,22.09975548
32.795,23.48595983
27.84,18.52205821
125,100
28.805,19.46207353
25.247,16.07662301
125,100
56.768,51.11400738
-53.798,0
125,100
125,100
125,100
60.082,55.25104025
-10.484,0
12.518,5.719459633
95.435,97.34863034
90.581,92.73591444
79.691,80.04226078
43.922,35.68980014
37.23,28.21497124
120.225,100
84.025,85.31345407
26.123,16.88208352
92.516,94.71573851
70.196,68.07275556
108.506,100
125,100
55.06,49.05572893
13.418,6.339344825
59.898,55.03307384
44.514,36.37260486
125,100
15.22,7.637380811
81.464,82.22221096
100.361,100
52.089,45.40202164
97.78,99.06733879
24.994,15.82904923
125,100
60.069,55.20515
43.591,35.32210457
51.723,44.9232953
68.711,66.19488269
124.158,100
-84.801,0
-0.109,0
-100,0
84.668,86.10854865
67.091,64.1193091
44.382,36.24877963
70.811,68.89547364
125,100
22.425,13.49940255
106.944,100
-100,0
95.981,97.80258382
54.253,48.06310164
59.382,54.38605368
30.616,21.24850944
-0.804,0
-97.197,0
-3.194,0
54.55,48.34997894
16.821,8.86332594
55.327,49.33072386
49.013,41.66339055
42.948,34.54273763
69.961,67.77260678
47.526,39.90912695
27.114,17.82972753
82.124,83.04278634
-15.303,0
61.638,57.20800541
50.82,43.83151583
100.275,100
31.719,22.36796143
56.127,50.31943472
45.832,37.93620082
125,100
125,100
125,100
5.648,1.751102007
88.857,90.87191488
125,100
9.103,3.567925357
24.687,15.54544839
33.694,24.40691204
64.088,60.34562249
69.786,67.59067414
125,100
125,100
17.473,9.36167294
99.539,99.90891349
90.46,92.60099061
125,100
125,100
125,100
75.825,75.24982181
71.276,69.44607784
88.306,90.26219744
86.127,87.78443179
69.856,67.68068106
59.129,54.05657527
125,100
14.322,6.980538727
43.704,35.43858893
22.428,13.50952112
125,100
53.593,47.21820907
50.447,43.38209193
41.909,33.38853161
43.926,35.67526667
-100,0
29.386,20.023908
85.248,86.79050054
125,100
104.001,100
73.357,72.08958273
55.264,49.28945253
125,100
54.831,48.7741409
22.065,13.18279124
125,100
61.515,57.06618598
57.646,52.16798854
122.477,100
35.418,26.26284123
27.84,18.52205821
30.092,20.73731422
125,100
125,100
65.31,61.89648294
50.766,43.76617006
125,100
66.147,62.89259828
35.255,26.06724958
42.712,34.30137342
125,100
122.026,100
17.8,9.615811679
125,100
85.561,87.12631224
85.278,86.79475
67.052,64.03877673
54.831,48.7741409
122.026,100
125,100
18.913,10.52294013
125,100
125,100
23.779,14.7171325
53.093,46.59019952
115.056,100
85.632,87.20963782
125,100
59.119,54.04422768
67.603,64.7705823
-100,0
91.382,93.56033203
42.372,33.89607184
35.498,26.32595214
106.156,100
89.58,91.6608555
120.225,100
125,100
31.266,21.93330565
125,100
52.713,46.12671695
61.19,56.64412665
-100,0
104.085,100
66.239,63.00869013
-100,0
58.671,53.52123745
88.679,90.67597699
69.425,67.13161033
125,100
78.311,78.30255322
21.977,13.11389065
66.278,63.08588636
42.231,33.73263242
9.655,3.890692223
21.111,12.36352356
49.919,42.74775143
-1.003,0
125,100
35.807,26.67850119
28.807,19.45172305
100.93,100
125,100
-100,0
65.671,62.2873532
85.969,87.60173301
125,100
27.106,17.8002885
47.216,39.53155444
68.395,65.77877365
-100,0
58.935,53.81383886
40.131,31.42532329
125,100
63.876,60.03684018
-1.13,0
46.766,39.00092753
-50.491,0
74.521,73.57649528
33.637,24.34568032
59.742,54.88162371
120.226,100
100.35,100
125,100
-100,0
125,100
121.599,100
29.735,20.40771873
125,100
86.534,88.25469841
125,100
67.944,65.20534155
113.226,100
67.494,64.6329348
115.492,100
123.342,100
42.915,34.55100433
125,100
99.039,99.72803924
30.092,20.73731422
114.406,100
73.904,72.75659652
32.739,23.4277392
67.571,64.73055375
43.9,35.66344371
125,100
81.465,82.22305047
53.539,47.1695663
76.96,76.63829078
29.91,20.57323959
19.942,11.37160806
45.33,37.3502467
4.197,1.123190771
125,100
-100,0
62.539,58.34495986
66.597,63.53194542
42.184,33.70014333
13.421,6.337503382
125,100
103.84,100
