Overlap,Score,
-100,0,
-100,0,
-100,0,
-100,0,
29.27,19.92645730745768,
-100,0,
-2.462,0,
-100,0,
-62.54,0,
25.247,16.07662301029695,
-100,0,
-100,0,
-37.511,0,
-5.036,0,
-100,0,
-65.319,0,
-85.869,0,
16.191,8.366888248136673,
10.8,4.595490067181121,
113.196,100,
18.017,9.803344295769836,
9.363,3.7171506489832353,
-100,0,
125,100,
-100,0,
14.34,6.988923563632269,
-100,0,
2.214,0.43172091570812837,
-100,0,
-100,0,
-16.776,0,
-0.767,0,
-44.718,0,
-84.845,0,
-100,0,
-35.865,0,
-100,0,
-100,0,
-65.416,0,
-41.476,0,
-76.295,0,
-30.747,0,
-100,0,
-100,0,
-25.352,0,
-100,0,
-3.516,0,
-100,0,
-100,0,
1.41,0.2198364853429003,
-100,0,
13.418,6.339344825435031,
-100,0,
4.492,1.2440861561059227,
48.142,40.6275048953739,
15.736,8.022423824719747,
125,100,
-55.085,0,
-0.196,0,
-82.119,0,
-100,0,
-100,0,
1.273,0.18842974929039433,
-2.395,0,
-4.079,0,
-0.407,0,
-79.417,0,
-28.945,0,
-2.858,0,
70.455,68.42613446327617,
-7.347,0,
-100,0,
-0.102,0,
-100,0,
31.542,22.200041227168793,
-100,0,
-3.706,0,
78.892,79.08877535418492,
-100,0,
-24.224,0,
-100,0,
-68.106,0,
26.608,17.34137958042216,
-100,0,
32.344,23.02130989647258,
23.724,14.680118095119196,
0.308,0.022435410426591987,
2.69,0.5780815289156009,
-5.437,0,
-100,0,
-24.75,0,
11.159,4.823921878289779,
-50.123,0,
-100,0,
-35.675,0,
-7.93,0,
23.226,14.219296577788903,
-77.543,0,
14.999,7.480755287131801,
-100,0,
-3.711,0,
-0.553,0,
16.901,8.921887965273905,
50.904,43.93340325212066,
-100,0,
19.815,11.275095625183093,
-100,0,
-41.028,0,
-8.147,0,
125,100,
-13.996,0,
-99.187,0,
-0.08,0,
-4.175,0,
-6.415,0,
-3.848,0,
-100,0,
1.884,0.33950968348096927,
-1.116,0,
8.457,3.1949353547261867,
-54.184,0,
-100,0,
-100,0,
-100,0,
-14.956,0,
-100,0,
6.767,2.2928018059648414,
-11.347,0,
-100,0,
-2.277,0,
-56.816,0,
-100,0,
-100,0,
10.77,4.576613856941772,
17.991,9.780514992746244,
-100,0,
64.349,60.6761752858997,
68.395,65.7787736451364,
20.732,12.030794119686739,
-40.985,0,
-100,0,
-4.902,0,
11.625,5.12709234631972,
-16.439,0,
-20.905,0,
-68.19,0,
-11.308,0,
5.809,1.825952764258716,
-100,0,
-100,0,
5.754,1.8001534798425727,
-10.469,0,
-15.079,0,
-100,0,
-100,0,
-14.896,0,
-100,0,
-100,0,
15.22,7.637380810603737,
-8.527,0,
2.291,0.4545179340485578,
-100,0,
-6.492,0,
29.113,19.77352356825463,
2.228,0.43583694004186757,
8.949,3.475667615202576,
-0.746,0,
-2.741,0,
-1.003,0,
-100,0,
20.455,11.803598364166213,
-62.793,0,
-100,0,
-0.102,0,
2.226,0.4352895374872166,
32.154,22.825718673134716,
-30.296,0,
125,100,
-100,0,
-35.787,0,
12.595,5.771937053952295,
-21.525,0,
-28.495,0,
-11.187,0,
-100,0,
-100,0,
-51.925,0,
-100,0,
-9.871,0,
-100,0,
-100,0,
-24.841,0,
-9.877,0,
-95.642,0,
-9.118,0,
-4.258,0,
58.003,52.663076569476154,
0.467,0.041987082449892445,
11.638,5.133919338562799,
-100,0,
19.725,11.189934093273036,
-100,0,
-100,0,
-11.821,0,
-95.621,0,
18.181,9.93934284905023,
-1.404,0,
125,100,
-100,0,
33.22,23.911358471949978,
125,100,
38.116,29.17042850985573,
14.279,6.950027942035289,
-25.658,0,
3.249,0.7671746427341561,
-23.54,0,
-21.889,0,
-100,0,
-100,0,
-100,0,
16.121,8.314033236937606,
-100,0,
-100,0,
20.689,12.005635345038032,
10.265,4.261710621948767,
-100,0,
-33.001,0,
-1.244,0,
-100,0,
6.957,2.386506380899781,
-100,0,
15.22,7.636871420268533,
-100,0,
18.373,10.080416846231193,
-1.842,0,
5.322,1.604672573224943,
12.025,5.389089433418767,
-59.201,0,
-100,0,
-48.811,0,
-57.849,0,
-100,0,
-70.657,0,
125,100,
-100,0,
-100,0,
125,100,
-100,0,
-8.668,0,
